Crime_Type,Slope,Intercept,MAE,MSE,RMSE,R2,Total_Count
"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8), 334(2) BNS) - Temple Theft",0.2833333333333335,-0.08333333333333415,0.774074074074074,0.798148148148148,0.8933913745655641,0.4013888888888889,12.0
DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS) - Improper Infrastucture In Construction,0.2833333333333335,4.916666666666666,1.1962962962962962,1.687037037037037,1.2988598989256066,0.24083333333333345,57.0
Giving false information respecting an offence committed - Giving false information respecting an offence committed,0.28333333333333344,1.2499999999999993,2.125925925925926,11.464814814814817,3.3859732448462756,0.04459876543209873,24.0
Disobedience to Order Promulgated by Public/Servant - By Private Institution,0.28333333333333344,-0.19444444444444486,1.6728395061728396,4.082098765432099,2.0204204427376244,0.11590909090909085,11.0
Disobedience to Order Promulgated by Public/Servant - By Govt. Institution,0.28333333333333344,-0.305555555555556,0.8481481481481481,1.1191358024691358,1.0578921506794234,0.32350746268656716,10.0
"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8), 334(2) BNS) - At Commercial Places / Establishments",0.26666666666666666,1.777777777777778,1.05679012345679,1.4024691358024692,1.1842588972865982,0.2526315789473683,28.0
KARNATAKA STATE LOCAL ACTS - MMRD (Mines & Minerals Regulation Development ) Act 1957,0.2500000000000001,6.861111111111111,3.432098765432099,13.904320987654321,3.7288498210110745,0.02909482758620685,73.0
"ARSON (Sec. 435, 436, 438 IPC/326(f),326(g),327(g) BNS) - Dwelling House",0.25,0.3055555555555556,0.6296296296296297,0.49691358024691357,0.7049209744694178,0.45608108108108103,14.0
ARMS ACT 1959 - Country Made - Non Prohibited Bore - In Disturbed Area,0.21666666666666667,0.4722222222222221,0.5148148148148148,0.3783950617283951,0.6151382460296182,0.4526785714285714,14.0
MOLESTATION (Sec.354 IPC/74 BNS) - Attempt to Commit,0.2000000000000001,4.444444444444445,1.6938271604938273,3.758024691358025,1.9385625322279456,0.06625766871165639,49.0
ARMS ACT 1962 - Country Made - Prohibited Bore - In Other Area,0.20000000000000004,9.555555555555555,2.9185185185185185,13.980246913580247,3.739016837830534,0.01871750433275543,95.0
"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS) - For Ransom - of Women",0.20000000000000004,0.2222222222222221,0.508641975308642,0.3506172839506172,0.592129448643299,0.43200000000000016,11.0
KARNATAKA STATE LOCAL ACTS - Karnataka Minor Mineral Consistent Rule 1994,0.18333333333333338,0.7499999999999999,1.2925925925925925,1.9981481481481482,1.413558682244267,0.10083333333333311,15.0
THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS) - Of Cultural - Idols,0.18333333333333335,0.19444444444444442,0.808641975308642,0.9858024691358024,0.992875857867338,0.18520408163265312,10.0
"WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC/126(2),127(2)-127(8) BNS) - Attempt to Commit",0.1666666666666667,2.0555555555555554,0.9135802469135802,1.2469135802469136,1.11665284679121,0.1293103448275863,26.0
DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS) - Electrocution Accident,0.1666666666666667,2.388888888888889,1.382716049382716,3.3209876543209877,1.8223577185396362,0.052816901408450745,29.0
"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS) - Unknown Person",0.15000000000000008,1.0277777777777772,1.176543209876543,2.2450617283950622,1.4983530052678047,0.06262886597938133,16.0
ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS) - Due to Other Causes,0.15000000000000002,4.138888888888889,2.6407407407407413,10.170987654320989,3.189198591232755,0.014533492822966343,44.0
